Title,Release Date,Rating,Review,Recommendation
"Quo Vadis, Aida?",2021,8.1,good,Recommended
Parasite,2019,8.7,good,Recommended
Roma,2018,7.6,good,Recommended
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,7.9,good,Recommended
Small Axe: Lovers Rock,2020,6.1,average,Not Recommended
Portrait of a Lady on Fire,2019,8.4,good,Recommended
Do Not Expect Too Much From the End of the World,2024,7.3,average,Recommended
Aftersun,2022,8.4,good,Recommended
Rocks,2021,6.8,average,Recommended
Collective,2020,7.9,good,Recommended
Amazing Grace,2018,8.0,good,Recommended
Inside the Yellow Cocoon Shell,2024,7.4,average,Recommended
The Irishman,2019,8.1,good,Recommended
Past Lives,2023,8.0,good,Recommended
Trenque Lauquen Parte II,2023,5.5,average,Not Recommended
Trenque Lauquen Parte I,2023,7.4,average,Recommended
Marriage Story,2019,8.1,good,Recommended
Petite Maman,2021,7.7,good,Recommended
David Byrne’s American Utopia,2020,7.4,average,Recommended
Shoplifters,2018,8.6,good,Recommended
Uncut Gems,2019,7.2,average,Recommended
Our Body,2023,4.9,bad,Not Recommended
No Bears,2022,7.5,good,Recommended
Apocalypse Now: Final Cut,2019,8.0,good,Recommended
Days,2021,4.8,bad,Not Recommended
De Humani Corporis Fabrica,2023,6.4,average,Not Recommended
Never Rarely Sometimes Always,2020,0.9,bad,Not Recommended
Menus Plaisirs - Les Troisgros,2023,8.9,good,Recommended
The Souvenir,2019,6.3,average,Not Recommended
The Zone of Interest,2023,7.2,average,Recommended
Burning,2018,7.8,good,Recommended
Drive My Car,2021,7.5,good,Recommended
Saint Omer,2023,5.1,average,Not Recommended
Time,2020,6.9,average,Recommended
Gavagai,2018,7.0,average,Recommended
Little Women,2019,7.6,good,Recommended
Little Women,2018,7.6,good,Recommended
Flee,2021,7.9,good,Recommended
Tótem,2024,7.6,good,Recommended
The Boy and the Heron,2023,7.8,good,Recommended
A Bread Factory Part One: For the Sake of Gold,2018,7.7,good,Recommended
All the Beauty and the Bloodshed,2022,8.9,good,Recommended
Hit the Road,2022,7.3,average,Recommended
"This Is Not a Burial, It's a Resurrection",2021,6.7,average,Recommended
They Shall Not Grow Old,2018,8.5,good,Recommended
The Favourite,2018,7.8,good,Recommended
